State,City,Place,Distance,Place_desc,Distance_km
himachal pradesh,manali,bathe in the hot springs of manikaran, 28 km  from city center ,"manikaran is a small town situated between rivers parvati and beas, famous for its hot water springs and beautiful landscapes. the town has a famous gurudwara called manikaran sahib and it is frequented by sikhs from all over the country.",28.0
himachal pradesh,manali,paraglide in the skies, 2 km  from city center ,"the hillside town of manali is famous for paragliding. at 2050 metres above sea level, it is an ultimate location for the sport, with its beautiful green valleys, stark blue skies, and snow-capped mountain peaks. the picture-perfect valley boasts of ideal wind conditions for paragliding and is thronged by both international and domestic tourists. starting with a basic training course, the operators are well organized, competent and trustworthy.",2.0
himachal pradesh,manali,atal tunnel, 17 km  from city center ,"also referred to as the rohtang tunnel, atal tunnel is a horseshoe-shaped highway tunnel that connects manali and the lahaul-spiti valley, reducing the time taken by around 4-5 hours. named after the former prime minister atal bihari vajpayee, the tunnel is the world’s longest one above 10,000 feet and is constructed in the pir panjal ranges, under the rohtang pass. it is an all-weather tunnel that has made possible the entry into the valley, which is usually landlocked during the winter months. the tunnel’s north end brings visitors into sissu, which is surrounded by high peaks.",17.0
himachal pradesh,manali,sissu, 27 km  from city center ,"also known as khwaling, sissu in lahaul, himachal pradesh, is situated on the right bank of chandra river. a drive out of the north end of the rohtang/atal tunnel will bring tourists into sissu, set amidst high peaks like the gyephang goh. it draws many visitors owing to the breathtaking view of the waterfall, locally called palden lhamo dhar. tea stalls provide refreshments while hotel triveni, hotel plm dhara and several homestays offer accommodation.",27.0
himachal pradesh,manali,take a dip in the vashisht baths, 1 km  from city center ,"located inside the very famous vashisht temple in manali, vashisht baths is a hot water spring, believed to possess medicinal values. also known as vashisht springs, it is visited by a lot of tourists, many of whom take a dip in the holy water to rid themselves of skin diseases and infections.",1.0
himachal pradesh,manali,tour in the museum of himachal culture & folk art, 1 km  from city center ,"museum of himachal culture & folk art has a beautiful collection of ancient and traditional heritage belonging to the region. the antique artefacts on display at the museum give insights into the long forgotten art, handicraft and the ancient culture of himachal pradesh.",1.0
himachal pradesh,manali,picnic in van vihar, 0 km  from city center ,"adorned with sky touching deodar trees, van vihar national park,is located near the mall road making it easily accessible. the favourite attraction of this park is a man-made lake that is open for boating.",0.0
himachal pradesh,manali,rafting, 16 km  from city center ,"river rafting in manali is done along the river beas and is considered ideal for expert rafters as well as beginners. the section of rafting starts from a small district called pirdi, usually at 10:00 am and takes about 1.5 hours. it is open throughout the week and people are advised to avoid the time when there is heavy rainfall which can lead to the rise in water level. the total cost of rafting in kullu-manali ranges from inr 500 to inr 2000 per person.",16.0
himachal pradesh,manali,naggar, 14 km  from city center ,"naggar is an unexplored and modest town in the kullu district, which will give you all the time to leisurely walk around, rest and rejuvenate amongst mountains, valleys, lush greenery and the river beas flowing in much proximity.",14.0
himachal pradesh,manali,bhrigu lake, 8 km  from city center ,bhrigu lake is a high altitude lake located in the district of kullu about 40 kilometres away from manali. the route to the lake passes through mesmerising meadows. not many tourists know about the beautiful bhrigu lake meadows that can be compared with the alpine meadows found at high altitude locations like switzerland.,8.0
himachal pradesh,manali,kullu, 32 km  from city center ,"this sister town to manali too, is a hill station of dreamy landscapes and sceneries, a hub of adventure activities as well as home to a number of sacred temples and shrines.",32.0
himachal pradesh,manali,adventure activities, 12 km  from city center ,"manali is the hub of adventure activities in himachal pradesh. from white river rafting to trekking opportunities to zorbing to horse-riding to skiing to paragliding, manali has everything to offer.",12.0
himachal pradesh,manali,ski in the chilling snow, 9 km  from city center ,"a major tourist spot of north india, manali is known for its excellent skiing conditions with skiing enthusiasts visiting from all over the country. the undulating slopes of solang valley and rohtang pass are perfect for skiing. they are popular for amateurs to learn their first move while ideal grounds for professional skiing in manali. so, if you are an adventure lover, leave yourself in the hands of your professional trainers to feel the thrill of skiing in the picturesque setting of manali.",9.0
himachal pradesh,manali,trek to cafes in malana, 21 km  from city center ,"this village in kullu, is a bit of shift in the world as we know it. there are around 200-300 stone roof houses sheltering 1500 people in this settlement which is one of its kind.",21.0
himachal pradesh,manali,himalaya nyingmapa buddhist temple, 0 km  from city center ,"himalayan nyingmapa gompa is a buddhist monastery located in manali and is one of the most famous monasteries situated in north india. its religious significance is highly essential for devotees, but tourists are also drawn for its architectural beauty and tranquillity in the environment.",0.0
himachal pradesh,manali,hike through the kothi village, 8 km  from city center ,kothi village is a perfect camping destination and draws tourists for adventure and recreational activities from all across the world. most trekkers on their way to rohtang pass often camp at the village.,8.0
himachal pradesh,manali,trek through the great himalayan national park, 63 km  from city center ,"the newest addition to the list of national parks in india, the great himalayan national park is quickly becoming what the wildlife scene in the region is being identified with and defined by.",63.0
himachal pradesh,manali,dwell the landscape of gulaba, 0 km  from city center ,"gulaba is a beautiful little village located about 20 kilometres from manali on the route to rohtang pass. gulaba has an enchanting natural landscape that attracts tourists in large numbers. one can explore the region trekking, set up a camp to soak in its natural beauty.",0.0
himachal pradesh,manali,rahala falls, 11 km  from city center ,rahala falls is a well-known picnic spot for locals and tourists on their way to rohtang pass from manali often halt to explore the waterfall. the water found at the rahala falls is usually cold as the water comes from a melting glacier situated in the himalayas. the surrounding is thickly vegetated with deodar and silver birch trees.,11.0
himachal pradesh,manali,trek to the beas kund, 17 km  from city center ,"the beas kund trek is a perfect weekend getaway trek with outstanding views of pir pinjal mountain ranges over the beas river. let your soul get wooed by the spectacular meadows of dhundi and bakarthach and finally, the glacial lake at beas kund which is worth all the hiking.",17.0
himachal pradesh,manali,trek the hampta pass, 1 km  from city center ,"hampta pass, situated in the manali region of the himachal pradesh, serves as one of the most convenient and enjoyable treks. laden with pristine form of nature, the trail comprises of dense pine forests, pristine glacial valleys, vast meadows and panoramic landscape.",1.0
himachal pradesh,manali,chill at the club house, 2 km  from city center ,"club house located in old manali is a retreat that offers several facilities and recreational activities for tourists and is, therefore, preferred by tourists. the club house is said to be one such place in manali that has something for everyone whether it is indoor games/ sports, entertainment or recreational activities.",2.0
himachal pradesh,manali,explore the wildlife at manali sanctuary, 1 km  from city center ,"manali sanctuary is home to mona- the state bird of himachal pradesh and a number of other rare and local species. find here brown bear, musk dear and maybe even a snow leopard.",1.0
himachal pradesh,manali,pray at the jagatsukh temple, 4 km  from city center ,"jagatsukh is a picturesque village, and the capital of kullu locates about 7 kilometres away from the town of manali. it is famous for its scenic natural landscape and the ancient jagatsukh temples which are religiously important shrines dedicated to lord shiva and goddess sandhya devi.",4.0
himachal pradesh,manali,click pictures at nehru kund, 8 km  from city center ,"nehru kund gets its name from the first prime minister of india, jawaharlal nehru who is said to have had water from the natural spring, when he used to stay in manali. one still finds here some cold and pristine water running here and a breath-taking scenery of mountains and valleys all around.",8.0
himachal pradesh,manali,chandrakhani pass and the parvati valley, 19 km  from city center ,"located at an altitude of 3660 m in the kullu valley, chandrakhani pass offers the tourists a fabulous view of deo tibba peak, pir panjal and parbati range of mountains. the expedition to this region introduces you to various hilly cultures of himachal pradesh that are extremely popular. in order to reach the serene pass, you have to pass through malana.",19.0
himachal pradesh,manali,bara bhangal kalihani trek, 37 km  from city center ,"bara bangal trek, also known as the shepherds trail trek, takes you from the lush green kullu valley to the stark landscapes of bara bhangal range.",37.0
himachal pradesh,manali,hampta valley, 14 km  from city center ,"hampta valley is known for its magnificent views of the mountains and adventure sports and has the 4,250 m-high hampta pass that serves as a corridor between lahaul’s chandra valley and kullu valley. the valley is perfect for trekking during the summer and winter months. it takes trekkers through alpine and rhododendron forests, green meadows, waterfalls and vertical rock fall while providing excellent views of the snow-covered pir panjal peaks. while the option to camp here is open throughout the year (near a riverside), the winter months offer the chance to set up a bonfire while having a hot meal.",14.0
himachal pradesh,manali,deo tibba base camp trek, 19 km  from city center ,"cradled in the lap of himalayan mountains in himachal pradesh, deo tibba trek is steeped with the richness of the nature and stunning landscapes. it is a spectacular trail passing through series of grazing pastures of gaddi shepherds.",19.0
himachal pradesh,manali,gayatri temple, 5 km  from city center ,"situated 7 km away from manali, the gayatri temple houses an idol of goddess gayatri, made of marble. this temple has some splendid architecture styles, is constructed with a stunning artistic finesse and with some of the most intricate woodwork.",5.0
himachal pradesh,manali,gadhan thekchhokling gompa monastery, 0 km  from city center ,"gadhan thekchhokling gompa is a well known religious centre primarily for the buddhists. however, people belonging to any religious belief are welcome to explore and soak in the divine spiritual vibe. the monastery is a small shrine dedicated to lord buddha.",0.0
himachal pradesh,manali,pray at siyali mahadev temple, 1 km  from city center ,siyali mahadev temple is a place of worship dedicated to lord shiva and is known as one of the oldest temples of lord shiva in the region. the sight of the temple from afar astounds everyone as they witness this unique structure amidst the beautiful natural landscape of manali.,1.0
himachal pradesh,manali,keylong, 40 km  from city center ,"nestled between the lahaul and spiti district in the state of himachal pradesh, keylong is a serene place perfect for a getaway to unwind. due to the dry cold weather, the place does not have a lot greenery? but the snow covered mountains covered with mist are picturesque. situated at an altitude of 3080 meters, keylong also has a rich culture.",40.0
himachal pradesh,manali,trek to the chandratal baralacha lake, 48 km  from city center ,"chandratal baralacha is a perfect trek destination steeped with all the right elements - nature's beauty and enough challenges to be thrilling and tranquillity. perched at an altitude of 4,300 meters, chandratal is one of the high altitude lakes in the himalayan region. located on the samudra plateau of spiti valley, the most delightful sight of sunset gleaming upon the turquoise waters of the lake, pristine landscape, mountain passes, several gushing streams, verdant meadows, the gush of colourful orchards and exotic wildlife make chandratal baralacha trek an unforgotten experience to cherish forever.",48.0
himachal pradesh,manali,marvel at the gauri shankar temple, 14 km  from city center ,gauri shankar temple is dedicated to lord shiva and is located in the village of naggar in manali. it is mostly visited by tourists and devotees of shiva. the temple is a small structure carved out of stones but has immense historical importance in the region.,14.0
himachal pradesh,manali,rozy waterfalls, 11 km  from city center ,"rozy falls is situated en-route rohtang from manali and is a popular tourist attraction. enveloped in tall deodar trees, dense woods and bounteous nature, the silvery cascading water is a visual delight to the eyes and a famous picnic spot.",11.0
himachal pradesh,manali,zorbing in manali, 9 km  from city center ,"zorbing is a fun hill-sport in this region that takes advantage of the picturesque downward slopes of the himalayas. the thrill of rolling down picturesque views at a speed that is not in your control is not just exhilarating but also alluring for zorbers. while zorbing has become a popular recreational activity, zorbing in solang valley is a wholly new experience. professional instructors ensure that you are well instructed and safe throughout the activity.",9.0
himachal pradesh,manali,winter carnival manali, 18 km  from city center ,"the manali winter carnival is himachal pradesh's way of welcoming the new year. it started in 1977 and had become an annual feature since then. held in january, the winter carnival in manali opens an opportunity to witness the beauty of slushy snow and enjoy the events and celebrations that it puts forth. initially, it only comprised of the skiing competition, but now it has come to include band performances, food festivals, street plays, folk dances, adventure sports and much more.",18.0
himachal pradesh,manali,roerich art gallery and estate, 16 km  from city center ,"nicholas roerich was a famous russian artist and philosopher. some people in russia consider him as a spiritual leader. he had lived across the world, and decided to settle in the small town of naggar in the early 1900s. the estate houses a good collection of his art, and also his car and the house where he stayed. 

the estate of roerich is located at a slightly secluded location - although not too far from the naggar castle (around 20mins of walk). the estate has a really nice forest area or garden with a large number of deodar trees, and a great view of the peaks around. even if you are not very interested in art, it's a good walk to the art gallery and then the views from the estate are pretty nice.",16.0
himachal pradesh,manali,bhunter, 40 km  from city center ,"what is generally overlooked as a town of utility only, with an airport and the last atm before you travel to higher altitudes, is a town where one can have a calm, simple and almost idle break from the popular himachal hill stations and their tourist rush.",40.0
ladakh,leh ladakh,pangong lake, 156 km  from city center ,"the most popular tourist attraction in ladakh, pangong lake is an endorheic (landlocked) lake situated at 4350 meters. also known as pangong tso it is 12 kilometres long and extends from india to tibet. almost 60% of pangong lake lies in the tibetan autonomous region. a unique feature of the lake is that it does not remain blue throughout the year or even the day, rather it changes colours from azure to light blue to green and grey too! it is famous amongst tourists as ladakh lake, the spot where the bollywood movie ""3 idiots"" was shot.",156.0
ladakh,leh ladakh,khardung la pass, 20 km  from city center ,"khardung la, also known as khardzong la, is one of the highest motorable roads in india at an elevation of 5602 metres. it serves as the gateway to shyok and nubra valley. an inner line permit is required to visit. it remains closed from october to may.",20.0
ladakh,leh ladakh,nubra valley, 71 km  from city center ,"nubra valley lies in the union territory of jammu & kashmir, at a distance of around 140 km from leh. with arid mountains in the backdrop, it is famous for the bactrian camel rides, orchards and monasteries. surrounded by snow-dusted himalayan mountains, it can be reached via khardung la.",71.0
ladakh,leh ladakh,sangam, 23 km  from city center ,"sangam is the confluence of indus and zanskar rivers in ladakh. the two rivers can be separately seen meeting at this point. while the indus river appears as shiny blue, zanskar river appears muddy green.",23.0
ladakh,leh ladakh,shanti stupa, 2 km  from city center ,"the shanti stupa is a white-domed buddhist monument. it is a religious place for buddhists as it holds the relics of buddha, consecrated by the 14th dalai lama. it looks exceptionally beautiful during the full moon night.",2.0
ladakh,leh ladakh,tso moriri lake, 155 km  from city center ,"tso moriri is the largest high altitude lakes in india, at an altitude of 4,595m. it is a twin to pangong lake. it is accessible only during the summer months and an inner line permit is required for visiting.",155.0
ladakh,leh ladakh,magnetic hill, 21 km  from city center ,the popular magnetic hill of ladakh is a cyclops hill where vehicles seem to move upwards on the hill instead of rolling downwards. it is located 30km from leh towards kargil.,21.0
ladakh,leh ladakh,hall of fame museum, 4 km  from city center ,"located at approximately 4 km from the main city, this glorified museum was built in memory of the brave soldiers who lost their lives fighting for india at the indo-pakistan war.",4.0
ladakh,leh ladakh,thiksey monastery, 13 km  from city center ,thiksey monastery is a tibetan-style monastery located 20km south of leh. the main highlight is the maitreya temple which houses a 15-metre high maitreya buddha statue. it is the largest such statue in ladakh.,13.0
ladakh,leh ladakh,zanskar valley, 100 km  from city center ,located in the kargil district to the east of ladakh (around 105 km) lies the bewitching zanskar valley. the semi-desert region is flanked by snow-capped mountains and sparkling clean rivers along with distinct flora and fauna. the easiest way of reaching zanskar is from kargil through suru valley.,100.0
ladakh,leh ladakh,shey monastery and palace, 10 km  from city center ,"shey monastery or the shey palace is an ancient monastery. it once served as the summer capital of ladakh but is mostly in ruins now. located on top of a hillock, it offers stunning panoramic views. the highlight of the monastery is 39ft tall shakyamuni buddha statue. a special permission needs to be taken to visit the monastery.",10.0
ladakh,leh ladakh,stok palace, 9 km  from city center ,"located around 15km from leh, the stok palace is the summer home to the royal family of ladakh and descendants of king sengge namgyal. it was established in 1820 by king tsepal namgyal and was opened to the public in 1980 by the dalai lama. the stok palace has been converted into a heritage hotel and houses the stok palace museum and temple.",9.0
ladakh,leh ladakh,hemis monastery, 29 km  from city center ,"hemis is a buddhist monastery ranked as one of the wealthiest monasteries in india. it is most visited during the annual hemis festival, held every year in early june. the monastery is well-connected with motorable roads.",29.0
ladakh,leh ladakh,white water rafting, 23 km  from city center ,"rafting expedition is done on zanskar river, called the grand canyon of india, with high cliff like gorges at certain places. the zanskar rafting expedition is one of the best river trips in the world.",23.0
ladakh,leh ladakh,pathar sahib gurudwara, 22 km  from city center ,"gurudwara pathar sahib is a beautiful gurudwara, dedicated to guru nanak dev. it is highly revered as it houses a rock which resembles guru nanak's back. it is built at the site where he is believed to have vanquished a demon.",22.0
ladakh,leh ladakh,kargil, 140 km  from city center ,"kargil lies near the line of control facing pakistan-administered kashmir's baltistan to the west, and kashmir valley to the south. zanskar is part of kargil district along with suru, wakha and dras valleys. kargil was at the center of a conflict between india and pakistan in 1999.",140.0
ladakh,leh ladakh,likir monastery, 37 km  from city center ,"the likir monastery is the oldest monastery in ladakh, located around 52 km from leh in the scenic likir village. belonging to the gelugpa sect of tibetan buddhism, the main attraction here is a 75 feet large seated statue of maitreya buddha gilded in gold. there are also various paintings of guardian divinities, murals and thangkas that adorn the walls of assembly halls.",37.0
ladakh,leh ladakh,alchi, 38 km  from city center ,"located in the alchi village of ladakh, alchi monastery is a complex of buddist temples of which alchi monastery is the oldest and most famous. cemented on a flat ground unlike other monasteries in ladakh, the traditional architecture of the monastery is a monastic complex which has 3 separate temples, known as dukhang, sumstek and the temple of manjushri.",38.0
ladakh,leh ladakh,spituk monastery, 6 km  from city center ,"spituk monastery also called spituk gompa, is a buddhist monastery located about 8 kms from leh. one of the most dazzling monasteries in india, it houses 100 monks and a giant statue of kali. it is famous for its collection of buddhist objects of antique arms, icon, ancient masks and numerous thangka paintings.",6.0
ladakh,leh ladakh,"diskit monastery, lachung temple and hundur monastery.", 44 km  from city center ,"also known as deskit/ diskit gompa, this is the oldest and largest monastery in nubra valley, belonging to gelugpa (yellow hat) sect of tibetan buddhism.",44.0
ladakh,leh ladakh,"bactarian camel safari, nubra valley", 71 km  from city center ,nubra valley is famous for the bactrian camel safari. these camels are not even the usual ones that you must have seen in rajasthan or in pictures. these camels having two humps were the major mode of transport to travel to silk route. these are now used for the safari in the region is hugely popular among the tourists.,71.0
ladakh,leh ladakh,leh palace, 2 km  from city center ,the leh palace is a 17th-century former royal palace that is converted into a museum. the highlight is the sweeping view of leh and the surrounding zanskar mountain from the rooftop.,2.0
ladakh,leh ladakh,tso kar lake, 101 km  from city center ,tso kar is a fluctuating salt lake located in the rupshu plateau of scenic ladakh valley. it is popularly known as the white lake owing to the white salt deposits it leaves on the shores. tso kar lake is the most peaceful and calm of the three high-altitude lakes (pangong lake and tso moriri) and also the smallest of the three. it is popular for bird-watching.,101.0
ladakh,leh ladakh,"hemis high altitude wildlife sanctuary, hemis", 46 km  from city center ,"at an altitude ranging from 3,300 m to 6,000 m above sea level, this sanctuary is known to be the highest in the world as well as the largest park of south asia. it is also a habitat to the rare snow leopards.",46.0
ladakh,leh ladakh,chadar trek, 37 km  from city center ,"the chadar trek or the frozen river expedition is one of the most unique and challenging treks in india. the 6-day chadar trek across the frozen zanskar river in ladakh takes place during the latter part of january till the end of february or sometimes even in the first week of march, depending on the weather.",37.0
ladakh,leh ladakh,hunder village, 49 km  from city center ,"hunder is a remote village located in the nubra valley region, 7km from diksit monastery. it is known for its sand dunes, cold desert and bactrian camel rides. it is also home to forests of sea-buckthorn, which is a medicinal plant. hunder is popular amongst trekkers.",49.0
ladakh,leh ladakh,taglang la, 1 km  from city center ,"the tanglang la is a high mountain road located on the leh-manali highway just a few kilometers from leh. it is at a height of 5,358 metres, is the second-highest mountain pass after khardung-la pass, and is also the 12th highest motorable pass. this popular spot in ladakh is known for being the second highest mountain located in zanskar range. the pass summit is breathtaking and is adorned by a number of prayer flags.",1.0
ladakh,leh ladakh,turtuk, 105 km  from city center ,"turtuk is a small village located in nubra valley region of ladakh, on the banks of shyok river. it is an unexplored and offbeat place, opened to tourists only in 2010. the picturesque village with its tiny houses and fields is surreal. it remains cut off from ladakh for 6 months during winter.",105.0
ladakh,leh ladakh,hundur monastery, 48 km  from city center ,"hundur monastery is a hilltop temple located in the nubra valley, quite close to the diskit monastery and lachung temple.",48.0
ladakh,leh ladakh,"phuktal monastery, zanskar", 105 km  from city center ,"the phugtal (phuktal) monastery is a buddhist monastery situated in the south-east part of zanskar region in ladakh. situated at the mouth of natural cave on a cliff, it is one of the most isolated monasteries in the region, built around 2500 years ago. the phugtal monastery looks like a honeycomb from a distance. it is popular amongst trekking enthusiasts.",105.0
ladakh,leh ladakh,lamayuru town, 76 km  from city center ,"lamayuru is a tiny village that's popularly known as the moonland of ladakh. it is immensely popular for housing the lamayuru monastery, the oldest and largest monasteries in ladakh. it is an ideal stopover between the kargil-leh route.",76.0
ladakh,leh ladakh,stargazing, 32 out of 71  places to visit in Leh Ladakh ,"leh-ladakh, as already mentioned earlier, is a must visit place for all photography lovers – especially, astro-photographers! the major reason why ladakh is a favourite among astrophotographers is because it provides clear night skies to complement the scenic beauty. cities don’t generally have such pellucid skies owing to the pollution around.",32.0
ladakh,leh ladakh,chang la pass, 34 km  from city center ,chang la pass is a high mountain pass and one of the highest motorable roads in the world. the 15km long pass is especially popular amongst bikers. the roads are mostly paved and are driveable by any vehicle. changla is open for tourists from mid may to october.,34.0
ladakh,leh ladakh,chemrey monastery, 29 km  from city center ,chemrey monastery is a 400-year-old yet unexplored buddhist monastery located approximately 40 kilometres (25 mi) east of leh in northern india. it is known for housing a staggering statue of padmasambhava (almost a storey-high)and a collection of ancient scriptures with the text emboldened in gold letters with the titles in silver.,29.0
ladakh,leh ladakh,namgyal tsemo gompa, 2 km  from city center ,"traveling to the namgyal tsemo gompa makes you encounter the steep mountains and submerges you in its serene and spiritual folds. the monastery has long lured travelers seeking buddhist experience but surprises them with something unexpected- the moon like, quiet and mystic expanse of ladakh's landscape.",2.0
ladakh,leh ladakh,ladakh trekking, 622 km  from city center ,"know for its majestic and moon like terrains, leh is attracted by many natural lovers and adventurous tourist. some popular trekking routes include spiti to ladakh, markha valley trekking, ladakh zanskar trekking and the nubra valley trekking.",622.0
ladakh,leh ladakh,sankar gompa, 2 km  from city center ,"sankar gompa is a beautiful buddhist monastery located 6 km from leh. a subsidiary of spituk monastery, it serves as the residence of the abbot of spituk, the senior incarnate lama of ladakh, making it an important religious site. the main attraction is the statue of avalokitesvara with 1000 arms and heads.",2.0
ladakh,leh ladakh,lachung temple," 1,281 km  from city center ","located in the nubra valley, lachung temple is a religious pilgrimage found in the diksit village. besides housing some of the most colourful and narrative paintings, this temple is also one of the oldest holy sites in the region.",1.0
ladakh,leh ladakh,druk white lotus school," 3,277 km  from city center ","the druk white lotus school, also known as druk padma karpo school, is a buddhist cultural school located in the shey valley, close to shey monastery and palace. it is popular as the rancho school from the famed bollywood movie 3-idiots. it has become a popular tourist attraction, even though it is a not public tourist spot.",3.0
ladakh,leh ladakh,city shopping," 2,037 km  from city center ","for all those who like to fill their bags with souvenirs and local produce, the markets in ladakh offers beautiful tibetan jewellery, motifs, decorated carpets and woolen clothes.",2.0
ladakh,leh ladakh,dah hanu, 102 km  from city center ,the villages of dah and hanu are amongst the only few villages that are home to the drogpa tribe. these villages are a must visit for those who are interested in cultural diversity. the drogpa tribes are known for their distinct ornaments and head gears.,102.0
ladakh,leh ladakh,sindhu darshan festival, 42 out of 71  places to visit in Leh Ladakh ,"the sindhu darshan festival is celebrated leh ladakh region, every year on the full moon day. celebrated over three days, this is a celebration of river sindhu, the former indus valley civilisation, with the motive of endorsing the river as an icon of communal harmony in india. the bollywood movie ""dil se"" was shot at the first sindhu darshan festival.",42.0
ladakh,leh ladakh,changtang wildlife sanctuary, 111 km  from city center ,"the changthang wildlife sanctuary is located at an altitude of about 4000-9000 feet in the ladakhi changthang plateau. the vast range of exotic flora and fauna attribute the sanctuary to be the second-largest nature reserve. it houses the three popular high altitude lakes - tso moriri, pangong lake and tso kar.",111.0
ladakh,leh ladakh,nyoma, 145 km  from city center ,nyoma is a quaint village located 150 km from leh on the banks of the indus river. the main attraction of this unexplored village is a buddhist monastery and the long walks in the peaceful lanes. nyoma is best visited as a stopover when travelling to chumathang from leh. an inner line permit is required to visit nyoma and its monastery.,145.0
ladakh,leh ladakh,mountain biking, 24 km  from city center ,"often termed the paradise of mountain bikers, leh has thousands of tourists coming in every year to experience the thrill of driving on its steep slopes and adrenaline gushing paths.",24.0
ladakh,leh ladakh,"panamik village, nubra valley", 71 km  from city center ,"located at a distance of about 140 km from leh, panamik village is the northernmost part of india. it lies on the bank of nubra river and is well known for its hot water spring, pashmina goats and the bactarian camels.",71.0
ladakh,leh ladakh,"yarab tso, sumur", 1 km  from city center ,"popular as the hidden lake, yarab tso is located in the nubra valley region. it is an uninhabited lake with crystal clear water. being located in a remote location, the only way to reach it is through an uphill hike.",1.0
ladakh,leh ladakh,"moonland, lamayuru", 76 km  from city center ,"a peculiar landscape near lamayuru on leh-kargil road is the moonland. it is called so fondly, because the landscapes here are said to be like that of the moon.",76.0
ladakh,leh ladakh,darcha to padum trek, 100 km  from city center ,"located on river bhaga, darcha is a small lahaul region in the himachal district of spiti. whereas padum is among the two primary capital cities of the zanskar society. there are plenty of camping sites en route, spread across a variety of nomadic sites travellers would pass by.",100.0
ladakh,leh ladakh,"maitreya buddha, nubra valley", 43 km  from city center ,near the diskit monastery in nubra valley stands a 32 meter tall statue of maitreya buddha facing towards the shyok river. this statue is built with 8 kg gold which was donated by the head of gompa and was sanctified by the dalai lama.,43.0
ladakh,leh ladakh,shyok valley, 173 km  from city center ,"shyok village is a hidden gem located in the nubra valley region, between leh and pangong lake. located on the banks of the shyok river, this tiny hamlet is an offbeat location with only a few houses and families. it is the perfect place to slow down, breathe in nature and get away from the daily routine.",173.0
ladakh,leh ladakh,handicrafts industrial cooperative shop," 2,037 km  from city center ",this place is good to buy souvenirs for friends and family. wooden choktse tables carved with images of mythical beasts are available from the handicrafts industrial cooperative shop .,2.0
karnataka,coorg,abbey falls, 4 km  from city center ,"abbey falls, also known as abbi falls, is located around 10 kilometres away from the town of madikeri and is one of the most popular tourist attractions in and around coorg. the water cascade coming down from the cliff from a height of 70 feet provides a spectacular scene to behold.",4.0
karnataka,coorg,raja's seat, 1 km  from city center ,"raja's seat is a garden built on an elevated ground overseeing the valleys that lie to the west, making it a popular viewpoint to watch sunrise and sunset. dotted with flowering plants and skillfully designed artificial fountains, the garden was a favourite venue to rejuvenate for the kings of kodagu, and they loved watching the sunsets sitting here as they spent some memorable time with their queens.  the garden here is a preferred picnic spot for the locals.",1.0
